phase_id,phase_title,task_id,task_title,primary_owner,supporting_agents,execution_mode,parallel_group,risk,depends_on,allowed_paths,objective,validation,acceptance,acceptance_tier,acceptance_agents,acceptance_outcome,evidence,stop_if
HW-04,事件、Inbox、Todo、回放与协同平台,HW04-01,迁移 Hub 核心资产到 Collaboration Service,terra_migrator,luna_inventory | terra_tester | terra_reviewer,workspace-write,A,high,,services/collaboration/** | packages/hub-contracts/** | packages/hub-client/** | docs/migration/**,按目标事件契约实现 Collaboration 服务；若配置可选旧源，只允许提取经白名单审查的 Hub 行为和测试，排除 hub-next、生成物与旧项目假设。,source hash verification | service build/test | no @portal/no hub-next scan,Collaboration Service 可独立启动 | 迁移代码有 provenance,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,hub-migration-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-04,事件、Inbox、Todo、回放与协同平台,HW04-02,建立 Event Catalog 与 Schema Registry,terra_contracts,luna_fixtures | terra_reviewer,workspace-write,A,high,HW01-02,packages/hub-contracts/** | services/collaboration/src/catalog/** | scripts/governance/**,所有可发布事件必须登记 owner、版本、敏感度、可见性、消费者和兼容策略。,catalog checker | duplicate type/version | unknown schema | breaking fixture,新事件必须先注册 | 旧版本保留明确读策略或正式退役,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,event-catalog.json | catalog-check.log,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-04,事件、Inbox、Todo、回放与协同平台,HW04-03,实现 Transactional Outbox SDK 与 Relay,terra_worker,terra_tester | terra_security,workspace-write,B,critical,HW04-01 | HW04-02 | HW01-05,packages/outbox-sdk/** | services/collaboration/src/ingest/** | database/prisma/models/collab.prisma,为所有领域服务提供同事务 Outbox 和可重试 Relay，避免业务成功但事件丢失。,transaction rollback | crash injection | duplicate relay | poison event,无 ghost event、lost event 或双业务写入 | 故障后可恢复 drain,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,outbox-failure-receipts.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-04,事件、Inbox、Todo、回放与协同平台,HW04-04,实现 Durable Event Store、Inbox 与 Todo Projection,terra_worker,terra_tester | terra_reviewer,workspace-write,B,high,HW04-02 | HW04-03,services/collaboration/src/modules/events/** | services/collaboration/src/modules/inbox/** | services/collaboration/src/modules/todos/** | database/prisma/models/collab.prisma,将领域事件可靠写入事件库，并按人员/角色/范围投影到 Inbox 和 Todo。,projection replay | recipient authorization | duplicate/out-of-order | concurrent read cursor,同一事件集可确定性重建 Inbox/Todo | 未读不靠简单序号差,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,projection-state-hash.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-04,事件、Inbox、Todo、回放与协同平台,HW04-05,实现 SSE Stream、Cursor 与 Gap Recovery,terra_worker,terra_tester | terra_browser,workspace-write,C,high,HW04-04 | HW02-04,services/collaboration/src/modules/stream/** | packages/hub-client/** | apps/workspace-web/src/platform/events/**,使用一个 same-origin SSE 连接传输实时投影，并在断线后从 durable API 补齐缺口。,single connection assertion | disconnect/gap/replay | 401/session revoked | duplicate/out-of-order,杀掉连接后状态最终一致 | 无重复 UI 活动,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,sse-recovery-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-04,事件、Inbox、Todo、回放与协同平台,HW04-06,实现 Workspace Inbox/Todo/消息中心基础视图,terra_worker,luna_fixtures | terra_browser,workspace-write,D,medium,HW04-05,apps/workspace-web/src/features/inbox/** | apps/workspace-web/src/features/todos/** | packages/ui/**,以人员为中心显示“我的消息”和“我的待办”，不暴露底层系统菜单。,component tests | a11y | 1k/10k fixture performance | redaction,用户可以从待办直达目标工作项 | 锁屏/通知列表不泄漏敏感正文,terra,terra_reviewer,APPROVED,inbox-todo-ui-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-04,事件、Inbox、Todo、回放与协同平台,HW04-07,Synthetic Event End-to-End,terra_tester,luna_fixtures | terra_browser,workspace-write,E,high,HW04-03 | HW04-05 | HW04-06,services/collaboration/test/** | apps/workspace-web/e2e/** | packages/testkit/** | evidence/HW-04/**,在没有真实业务领域前走通 command fixture→outbox→event→inbox/todo→SSE→UI→read。,full E2E | failure injection | production absence scan,闭环可重复 | 测试能力不进入 production registry,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,synthetic-event-e2e.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-04,事件、Inbox、Todo、回放与协同平台,HW04-08,Event Collaboration Gate,parent_codex,terra_reviewer | terra_security,read-only,F,critical,HW04-03 | HW04-04 | HW04-05 | HW04-07,services/collaboration/** | packages/hub-*/** | packages/outbox-sdk/** | apps/workspace-web/src/platform/events/**,确认事件平台可靠且只是投影/传输层，不拥有业务真相。,full collaboration suite | replay state hash | security review,P0/P1 为零 | 允许 Work Item 与领域服务接入,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_phase_gate,PASS_RECOMMENDED,G04-gate-decision.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-05,工作项、上下文、卡片协议与 Harness,HW05-01,定义 Space、Thread、WorkItem 与 Activity Contracts,terra_contracts,luna_fixtures | terra_reviewer,workspace-write,A,high,,packages/workspace-contracts/** | packages/workitem-contracts/**,将应用入口改为能力空间，将每笔业务/项目/Agent Run 映射为线程和工作项。,schema tests | cross-domain fixtures | invalid ownership/status tests,同一模型可表达用户列出的七类基本单位 | 不把所有事件都误建为 Todo,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,workitem-contract-snapshot.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-05,工作项、上下文、卡片协议与 Harness,HW05-02,定义 Card、Action 与 Canvas Protocol,terra_contracts,luna_fixtures | terra_security,workspace-write,A,high,HW01-02 | HW05-01,packages/card-protocol/** | packages/capability-sdk/**,让高频业务通过结构化卡片处理，复杂详情通过 Canvas 展开，自然语言只负责表达与协作。,schema/renderer fixtures | unknown card | action replay | XSS/unsafe URL,无法通过 card 注入 JS/HTML/任意 endpoint | 动作只有服务端 accepted event 后完成,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,card-protocol-catalog.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-05,工作项、上下文、卡片协议与 Harness,HW05-03,实现 Work Item Projection 与 Query API,terra_worker,terra_tester | terra_reviewer,workspace-write,B,high,HW05-01 | HW04-04,services/collaboration/src/modules/work-items/** | database/prisma/models/collab.prisma,从领域事件确定性投影工作项、参与者、期限和状态，不允许客户端任意创建权威状态。,projection replay | scope matrix | out-of-order/duplicate | rebuild hash,同事件集产生相同 work item | 跨科室查询被拒,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,workitem-projection-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-05,工作项、上下文、卡片协议与 Harness,HW05-04,实现 Harness、Decision 与 Handoff 状态机,parent_codex,terra_contracts | terra_tester | terra_reviewer,workspace-write,B,critical,HW05-01 | HW04-04,services/collaboration/src/modules/harness/** | services/collaboration/src/modules/decisions/** | services/collaboration/src/modules/handoffs/** | packages/harness-contracts/**,借鉴 Knowe Harness，但用服务端确定性状态机保证任务、裁决、交接和完成留痕。,transition table | invalid transition | approve/reject race | cancel/late event | restart recovery,每次状态变化产生注册事件 | 决策和交接不可静默丢失,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,harness-state-machine-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-05,工作项、上下文、卡片协议与 Harness,HW05-05,实现 Command Dispatcher 与 Action Receipt,terra_worker,terra_tester | terra_security,workspace-write,C,high,HW05-02 | HW05-04,services/gateway/src/commands/** | services/collaboration/src/modules/command-receipts/** | packages/capability-sdk/**,统一接收 Workspace 卡片动作、路由到领域服务，并将 pending/accepted/rejected/conflict 回执投影回线程。,double click | timeout/unknown result | 403/409 | replay | stale session,重复动作不重复写业务 | 错误可诊断且时间线一致,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,command-receipt-matrix.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-05,工作项、上下文、卡片协议与 Harness,HW05-06,实现 Context Resolver 与最小化快照,terra_worker,terra_contracts | terra_security,workspace-write,C,high,HW05-01 | HW02-05,services/gateway/src/context/** | packages/context-contracts/** | apps/workspace-web/src/context/**,为线程提供人员、组织、位置、患者、资产和项目上下文引用，但每次展示都重新授权并最小化。,authorization matrix | stale context | redaction | cache absence,跨用户/科室不能复用敏感上下文 | 线程可解释当前处理对象,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,context-security-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-05,工作项、上下文、卡片协议与 Harness,HW05-07,实现 Workspace Space/Thread/Timeline/Card/Canvas Runtime,terra_worker,terra_browser | luna_fixtures,workspace-write,D,medium,HW05-02 | HW05-03 | HW05-05 | HW05-06,apps/workspace-web/src/features/spaces/** | apps/workspace-web/src/features/threads/** | apps/workspace-web/src/features/timeline/** | apps/workspace-web/src/features/cards/** | apps/workspace-web/src/features/canvas/**,完成新产品的核心交互骨架：用户围绕工作项处理，不围绕系统菜单跳转。,component/e2e | a11y | deep link refresh | long timeline performance,可用 synthetic fixtures 完成完整动作 | UI 不自行创造业务完成状态,terra,terra_reviewer,APPROVED,workspace-runtime-evidence.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-05,工作项、上下文、卡片协议与 Harness,HW05-08,Synthetic Work Item & Harness E2E,terra_tester,luna_fixtures | terra_browser,workspace-write,E,high,HW05-04 | HW05-05 | HW05-07,services/collaboration/test/** | apps/workspace-web/e2e/** | evidence/HW-05/**,走通创建工作项、指派、动作、Decision、Handoff、完成、断线恢复和事件重放。,multi-user E2E | failure injection | projection rebuild,状态机和 UI 一致 | 每个决策/交接都有 provenance,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,synthetic-harness-e2e.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-05,工作项、上下文、卡片协议与 Harness,HW05-09,Work Item & Harness Gate,parent_codex,terra_reviewer | terra_security,read-only,F,critical,HW05-03 | HW05-04 | HW05-05 | HW05-06 | HW05-08,services/collaboration/** | packages/*workitem*/** | packages/card-protocol/** | packages/harness-contracts/** | apps/workspace-web/**,确认工作项/群聊/Harness 是可靠协作层而不是新业务大单体。,full work/harness suite | state replay | security review,P0/P1 为零 | 允许真实领域接入,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_phase_gate,PASS_RECOMMENDED,G05-gate-decision.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-06,首个真实垂直切片：信息报修与协作工单,HW06-01,审计并白名单抽取 Legacy Ticket Domain,terra_migrator,luna_explorer | terra_reviewer,workspace-write,A,high,,docs/migration/tickets/** | services/tickets/** | packages/ticket-contracts/**,按目标 Ticket 契约重新实现状态机、repository、outbox、附件与测试；若配置可选旧源，仅作需求核对和算法提取，拒绝复制 Next UI、页面会话与旧通知入口。,source manifest | behavior fixture extraction | no Next/UI import scan,领域规则来源可追溯 | 新服务未依赖 legacy workspace,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,ticket-migration-plan.yaml,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-06,首个真实垂直切片：信息报修与协作工单,HW06-02,冻结 Ticket Contracts 与状态机,terra_contracts,luna_fixtures | terra_reviewer,workspace-write,A,high,HW06-01,packages/ticket-contracts/** | packages/card-protocol/** | packages/hub-contracts/**,定义 Ticket、Incident、Participant、AttachmentRef、SLA、命令、事件和卡片协议。,transition table | invalid actor/status | event/card fixtures | assetRef validation,所有状态变化只能由命令产生 | 可表达个人工单与公共故障,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,ticket-contract-snapshot.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-06,首个真实垂直切片：信息报修与协作工单,HW06-03,实现 Ticket Service 与数据库模型,parent_codex,terra_worker | terra_tester | terra_security,workspace-write,B,critical,HW06-02,services/tickets/** | database/prisma/models/ticket.prisma | database/migrations/**,实现独立 Ticket 领域服务、repository、状态机、权限和审计。,service unit/integration | database migration/rebuild | permission/scope | state table,服务可独立部署 | Workspace/Collaboration 不直接写 ticket 表,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,ticket-service-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-06,首个真实垂直切片：信息报修与协作工单,HW06-04,实现 Ticket Outbox、事件与 WorkItem Mapping,terra_worker,terra_tester | terra_reviewer,workspace-write,B,high,HW06-03 | HW04-03 | HW05-03,services/tickets/src/events/** | services/collaboration/src/mappings/tickets/**,让工单状态与 Outbox 同事务，并确定性投影为线程、工作项、待办和活动。,outbox crash | replay mapping | recipient scope | SLA retry,不丢单、不重复接单 | 重放可恢复相同工作项,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,ticket-event-workitem-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-06,首个真实垂直切片：信息报修与协作工单,HW06-05,实现受控附件链,terra_worker,terra_tester | terra_security,workspace-write,C,critical,HW06-03,services/tickets/src/attachments/** | packages/asset-contracts/** | infrastructure/storage/**,支持报修图片和文件，同时防止路径泄漏、MIME 欺骗、跨工单访问和长期公开 URL。,malicious filename | MIME mismatch | oversize | cross-ticket IDOR | replay,不存在任意文件读写和公开永久链接 | 审计可追踪上传/查看,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,attachment-security-report.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-06,首个真实垂直切片：信息报修与协作工单,HW06-06,实现 Workspace Tickets Capability,terra_worker,terra_browser | luna_fixtures,workspace-write,D,medium,HW06-02 | HW06-04 | HW06-05,apps/workspace-web/src/capabilities/tickets/** | packages/ui/**,用空间、队列、线程、卡片和 Canvas 取代旧报修网页。,component tests | a11y | deep link | 403/409/expired | attachment E2E,用户不离开 Workspace 完成报修闭环 | UI 只展示服务端允许动作,terra,terra_reviewer,APPROVED,tickets-capability-evidence.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-06,首个真实垂直切片：信息报修与协作工单,HW06-07,多人并发、故障与恢复 E2E,terra_tester,terra_browser | terra_security,workspace-write,E,critical,HW06-04 | HW06-06,services/tickets/test/** | apps/workspace-web/e2e/tickets/** | evidence/HW-06/**,验证临床用户、两个工程师、管理员在并发、断线和服务故障下的一致性。,multi-user Playwright | race tests | failure injection | replay hash,无双接单、状态倒退或跨用户泄漏 | 故障后最终一致,sol-acceptance,terra_reviewer | terra_security | sol_acceptance,ACCEPT,ticket-multiuser-e2e.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-06,首个真实垂直切片：信息报修与协作工单,HW06-08,信息科内部 MVP Gate,parent_codex,terra_reviewer | terra_security,read-only,F,critical,HW06-03 | HW06-05 | HW06-07,services/tickets/** | apps/workspace-web/src/capabilities/tickets/** | services/collaboration/**,确认第一个真实领域证明新架构可用，但不等于医院试点。,full ticket suite | security review | MVP usability checklist,P0/P1 为零 | 只批准内部非患者敏感 MVP,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_phase_gate,PASS_RECOMMENDED,G06-MVP-gate-decision.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-07,第二个垂直切片：确费与强确定性短流程,HW07-01,审计并抽取 Legacy Fee Domain,terra_migrator,luna_explorer | terra_reviewer,workspace-write,A,high,,docs/migration/fee/** | services/fee/** | packages/fee-contracts/**,按目标 Fee 契约重新实现业务规则、HIS Adapter 与测试；若配置可选旧源，仅作需求核对和算法提取，不复制 Next 页面、Radix 组件、Mock 数据与旧 Hub UI。,source manifest | behavior fixtures | no Next/UI import,领域需求可追溯 | 新服务无旧页面依赖,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,fee-migration-plan.yaml,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-07,第二个垂直切片：确费与强确定性短流程,HW07-02,冻结 Fee Contracts 与状态机,terra_contracts,luna_fixtures | terra_reviewer,workspace-write,A,high,HW07-01,packages/fee-contracts/** | packages/card-protocol/** | packages/hub-contracts/**,定义 Fee Item/Batch/Confirmation、Money、患者摘要、命令、事件、错误和卡片。,money/time tests | state table | idempotency | redaction,金额与状态无歧义 | 未知结果不被前端视为成功,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,fee-contract-snapshot.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-07,第二个垂直切片：确费与强确定性短流程,HW07-03,实现 Fee Service 与 Hosp Access Adapter,parent_codex,terra_worker | terra_tester | terra_security,workspace-write,B,critical,HW07-02,services/fee/** | database/prisma/models/fee.prisma | packages/hosp-contracts/**,实现独立确费服务，HIS 访问全部经过受控 Hosp Access/Adapter，平台不伪造 HIS 真相。,service integration | fake HIS | timeout/unknown | permission/scope | migration rebuild,Workspace 不直接调用 HIS | 服务重试不重复确费,sol-architecture-security,terra_reviewer | terra_security | sol_architecture_security,ACCEPT,fee-service-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-07,第二个垂直切片：确费与强确定性短流程,HW07-04,实现 Fee Outbox 与 WorkItem Mapping,terra_worker,terra_tester | terra_reviewer,workspace-write,B,high,HW07-03,services/fee/src/events/** | services/collaboration/src/mappings/fee/**,将待确费、确认、取消、冲突、过期和未知结果投影到人员待办和时间线。,outbox crash | recipient scope | replay | unknown result,无 ghost confirmation | 工作项与 HIS/平台状态可解释,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,fee-event-workitem-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-07,第二个垂直切片：确费与强确定性短流程,HW07-05,实现 Workspace Fee Capability,terra_worker,terra_browser | luna_fixtures,workspace-write,C,medium,HW07-02 | HW07-04,apps/workspace-web/src/capabilities/fee/**,提供待确费队列、单笔卡片、批次/明细 Canvas 和确认/取消动作。,component/a11y | double click | 403/409/unknown | sensitive memory/log scan,高频操作步骤减少 | 不会因聊天文本“确认”直接写业务,terra,terra_reviewer,APPROVED,fee-capability-evidence.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-07,第二个垂直切片：确费与强确定性短流程,HW07-06,确费安全、并发与恢复 E2E,terra_tester,terra_browser | terra_security,workspace-write,D,critical,HW07-03 | HW07-05,services/fee/test/** | apps/workspace-web/e2e/fee/** | evidence/HW-07/**,验证重复点击、并发用户、HIS 超时、Hub 中断、切换人员和撤权。,race tests | fake HIS fault matrix | replay | privacy scan,不重复收费/确认 | 未知状态诚实保留 | 最终一致,sol-acceptance,terra_reviewer | terra_security | sol_acceptance,ACCEPT,fee-e2e-receipt.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-07,第二个垂直切片：确费与强确定性短流程,HW07-07,Fee Vertical Slice Gate,parent_codex,terra_reviewer | terra_security,read-only,E,critical,HW07-03 | HW07-04 | HW07-06,services/fee/** | apps/workspace-web/src/capabilities/fee/** | services/collaboration/src/mappings/fee/**,确认新交互提高效率但没有牺牲财务和患者安全。,full fee suite | security review | workflow usability,P0/P1 为零 | 允许进入交班和轻应用,sol-phase-gate,terra_reviewer | terra_security | sol_acceptance | sol_phase_gate,PASS_RECOMMENDED,G07-gate-decision.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
